Subregion_1,n,median_sc,p_value
Australia and New Zealand,2,0.7483441047631287,0.40137136840301724
Central America,1,0.19099759932027152,0.40137136840301724
Eastern Asia,10,0.7621201074742102,0.40137136840301724
Eastern Europe,1,0.808209706589134,0.40137136840301724
Northern America,13,0.16722545597445657,0.40137136840301724
Northern Europe,12,0.19099759932027166,0.40137136840301724
South America,1,0.08433827698395352,0.40137136840301724
South-eastern Asia,2,0.4298736936902861,0.40137136840301724
Southern Asia,1,0.08693178044770265,0.40137136840301724
Southern Europe,8,0.744685884013577,0.40137136840301724
Western Africa,2,0.09492247271335111,0.40137136840301724
Western Asia,2,0.11606764273341734,0.40137136840301724
Western Europe,14,0.5419588524168593,0.40137136840301724
