Journal,mean_katz,n_editors
Annual Review of Environment and Resources,-0.018944057904184464,3
Current Opinion in Environmental Sustainability,-0.018447121207092153,9
Earth Systems Governance,-0.268169386499613,5
Ecological Economics,-0.3172691601665751,5
Ecology and Society,-0.09859137386345147,11
"Environment, Development, and Sustainability",-0.04120821216460348,6
Environmental Innovation and Societal Transitions,-0.45885948684725913,4
Environmental Research Letters,-0.5576025669993984,3
Global Environmental Change,-0.21267602249801637,2
International Journal of Precision Engineering and Manufacturing-Green Technology,0.06844934787858156,1
International Journal of Sustainability in Higher Education,-0.22983121764331826,6
International Journal of Sustainable Development and World Ecology,-0.18949365292995485,1
Journal of Cleaner Production,-0.019548115668380866,30
Journal of Industrial Ecology,-0.04030975074459099,12
PNAS (Sustainability Science),-0.17039167595600105,7
Renewable Energy,-0.17262026084856738,5
Renewable and Sustainable Energy Reviews,-0.19172236023886535,5
Sustainability Science,-0.0015033971707171096,18
Sustainable Cities and Society,0.22454177584605237,2
Sustainable Development,0.5335886641900716,2
Sustainable Production and Consumption,-0.17873701338291334,5
World Development,0.20666047030236193,4
