editor_id,evc_full,evc_gc
0000-0001-5139-444X,0.8250783810859471,0.8250783810859472
0000-0001-6159-4947,0.7912307148256846,0.791230714825685
0000-0001-6348-8734,0.0458282378778818,0.045828237877881775
0000-0001-6556-8041,0.7558244408276678,0.7558244408276676
0000-0001-6762-828X,0.7365409488111587,0.7365409488111591
0000-0001-6796-2958,0.08393310101082131,0.08393310101082156
0000-0001-7015-2075,0.22428964146143676,0.22428964146143693
0000-0001-7037-089X,0.08693178044770257,0.08693178044770246
0000-0001-7176-4604,0.0869113264453915,0.08691132644539158
0000-0001-7687-9267,0.8082097065891338,0.8082097065891343
0000-0001-8008-6198,0.19099759932027116,0.1909975993202712
0000-0001-8743-7800,0.9999999999999997,0.9999999999999999
0000-0001-8994-5251,0.1672254559744562,0.1672254559744565
0000-0001-9123-0845,0.058397059215671857,0.05839705921567178
0000-0001-9136-0949,0.7326518323607092,0.7326518323607093
0000-0001-9139-2721,0.034927244997919896,0.03492724499791992
0000-0001-9376-8366,0.2075729390069363,0.20757293900693627
0000-0001-9764-685X,0.1524583624226868,0.15245836242268687
0000-0002-0139-3913,0.050469624843360976,0.05046962484336096
0000-0002-0544-6744,0.7912307148256846,0.791230714825685
0000-0002-0724-5962,0.9999999999999999,0.9999999999999994
0000-0002-1241-5225,0.1636382404404718,0.1636382404404718
0000-0002-1579-7134,0.05839705921567179,0.05839705921567181
0000-0002-2085-0446,0.19099759932027124,0.19099759932027108
0000-0002-2198-6740,0.7914151839088636,0.7914151839088635
0000-0002-2294-6521,0.094939924301289,0.09493992430128904
0000-0002-2580-5361,0.1909975993202713,0.1909975993202712
0000-0002-2759-6727,0.4328744575525729,0.43287445755257326
0000-0002-3332-4621,0.048352840250541686,0.048352840250541644
0000-0002-3654-1437,0.05839705921567182,0.05839705921567181
0000-0002-3745-9128,0.7912307148256847,0.791230714825685
0000-0002-4050-3281,0.2424802379157116,0.2424802379157114
0000-0002-4300-1551,0.8082097065891338,0.8082097065891339
0000-0002-4617-6197,0.18869889838024076,0.18869889838024084
0000-0002-4776-3748,0.19099759932027124,0.1909975993202712
0000-0002-4928-2446,0.07897526086043645,0.0789752608604365
0000-0002-5094-6326,0.9999999999999997,0.9999999999999999
0000-0002-5600-0726,0.7914151839088637,0.7914151839088638
0000-0002-6079-3554,0.7914151839088638,0.7914151839088635
0000-0002-6365-4082,0.8518821158466502,0.8518821158466501
0000-0002-7613-1985,0.9999999999999996,0.9999999999999997
0000-0002-7723-0635,0.9999999999999997,0.9999999999999998
0000-0002-7927-3348,0.02783819280869253,0.02783819280869256
0000-0002-7993-5540,0.7330095001227352,0.7330095001227351
0000-0002-8229-2929,0.9999999999999997,0.9999999999999998
0000-0002-8256-6942,0.9999999999999996,0.9999999999999998
0000-0002-8270-4022,0.7528308192159944,0.7528308192159947
0000-0002-8279-9666,0.7408637686985894,0.7408637686985895
0000-0002-9270-8860,0.05153768079143803,0.05153768079143799
0000-0003-0132-8051,0.03548616485139371,0.03548616485139368
0000-0003-0173-0112,0.1909975993202713,0.19099759932027133
0000-0003-0200-2133,0.33110733962003464,0.33110733962003475
0000-0003-0291-2735,0.1223380544457197,0.12233805444571971
0000-0003-0956-7997,0.7528308192159945,0.7528308192159949
0000-0003-1861-8813,0.18043276312074213,0.1804327631207422
0000-0003-2400-2839,0.9999999999999996,1
0000-0003-2463-6735,0.05830110555632612,0.05830110555632611
0000-0003-2516-2412,0.19099759932027116,0.19099759932027108
0000-0003-2561-6090,0.9999999999999996,0.9999999999999999
0000-0003-2734-851X,0.15435878057530847,0.15435878057530836
0000-0003-3163-6119,0.08433827698395352,0.08433827698395355
0000-0003-3345-4538,0.3310868856177236,0.33108688561772365
0000-0003-3572-268X,0.7500945439118004,0.7500945439118003
0000-0003-4065-5194,0.07176731583433058,0.07176731583433066
0000-0003-4138-6897,0.17373822625116264,0.17373822625116286
0000-0003-4144-0208,0.85188211584665,0.8518821158466499
0000-0003-4244-2854,0.013830806098398029,0.01383080609839801
0000-0003-4346-3163,0.15435878057530852,0.1543587805753084
0009-0003-8058-6282,0.8082097065891338,0.8082097065891338
